@relation 'gamma_training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R23-26-weka.filters.unsupervised.attribute.AddExpression-E(a7+a9+a11+a13)/4-NmeanGhostx-weka.filters.unsupervised.attribute.AddExpression-E(a8+a10+a12+a14)/4-NmeanGhosty-weka.filters.unsupervised.attribute.AddExpression-E(a15+a16+a17+a18)/4-NmeanDist-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Remove-R15-25'

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute Direction {North,South,East,West,Stop}

@data
1,11,1,0,1,0,1,1,5,12,5,1,7,1,North
1,12,1,1,1,0,1,1,5,12,5,1,7,1,East
1,13,1,1,1,0,1,1,5,12,5,1,7,1,East
2,13,1,1,1,1,1,1,5,12,5,1,7,1,East
3,13,1,1,1,1,1,1,5,12,5,1,7,1,South
4,13,1,1,1,1,1,1,5,12,5,1,7,1,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,Stop
12,10,1,1,1,1,5,6,5,12,13,6,13,12,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,11,1,1,1,1,5,6,5,12,13,6,13,12,West
13,12,1,1,1,1,5,6,5,12,13,6,7,1,West
12,12,1,1,1,1,5,6,5,12,13,6,7,1,West
11,12,1,1,1,1,5,6,5,12,13,6,7,1,South
10,12,1,1,1,1,5,6,5,12,13,6,7,1,South
10,11,1,1,1,1,5,6,5,12,13,6,7,1,East
10,10,1,1,1,1,5,6,5,12,13,6,7,1,East
11,10,1,1,1,1,5,6,5,12,13,6,7,1,East
12,10,1,1,1,1,5,6,5,12,13,6,7,1,South
13,10,1,1,1,1,5,6,5,12,13,6,7,1,East
13,9,1,1,1,1,5,6,5,12,13,6,7,1,East
14,9,1,1,1,1,5,6,5,12,13,6,7,1,East
15,9,1,1,1,1,5,6,5,12,13,6,7,1,East
16,9,1,1,1,1,5,6,5,12,13,6,7,1,East
17,9,1,1,1,1,5,6,5,12,13,6,7,1,North
18,9,1,1,0,1,5,6,5,12,13,6,7,1,North
18,10,1,1,0,1,5,6,5,12,13,6,7,1,North
18,11,1,1,0,1,5,6,5,12,13,6,7,1,North
18,12,1,1,0,1,5,6,5,12,13,6,7,1,North
18,13,1,1,0,1,5,6,5,12,13,6,7,1,Stop
18,14,0,1,0,1,5,6,5,12,13,6,7,1,West
18,14,0,1,0,1,5,6,5,12,13,6,7,1,West
17,14,0,1,1,1,5,6,5,12,13,6,7,1,South
16,14,0,1,1,1,5,6,5,12,13,6,7,1,South
16,13,1,1,1,1,5,6,5,12,13,6,7,1,South
16,12,1,1,1,1,5,6,5,12,13,6,7,1,East
16,11,1,1,1,1,5,6,5,12,13,6,7,1,East
17,11,1,1,1,1,5,6,5,12,13,6,7,1,South
18,11,1,1,0,1,5,6,5,12,13,6,7,1,South
18,10,1,1,0,1,5,6,5,12,13,6,7,1,South
18,9,1,1,0,1,5,6,5,12,13,6,7,1,South
18,8,1,1,0,1,5,6,5,12,13,6,7,1,South
18,7,1,1,0,1,5,6,5,12,13,6,7,1,South
18,6,1,1,0,1,5,6,5,12,13,6,7,1,South
18,5,1,1,0,1,5,6,5,12,13,6,7,1,South
18,4,1,1,0,1,5,6,5,12,13,6,7,1,West
18,3,1,0,0,1,5,6,5,12,13,6,7,1,West
17,3,1,0,1,1,5,6,5,12,13,6,7,1,West
16,3,1,0,1,1,5,6,5,12,13,6,7,1,West
15,3,1,0,1,1,5,6,5,12,13,6,7,1,West
14,3,1,0,1,1,5,6,5,12,13,6,7,1,North
13,3,1,0,1,1,5,6,5,12,13,6,7,1,North
13,4,1,1,1,1,5,6,5,12,13,6,7,1,East
13,5,1,1,1,1,5,6,5,12,13,6,7,1,East
14,5,1,1,1,1,5,6,5,12,13,6,7,1,West
15,5,1,1,1,1,5,6,5,12,13,6,7,1,West
14,5,1,1,1,1,5,6,5,12,13,6,7,1,North
13,5,1,1,1,1,5,6,5,12,13,6,7,1,North
13,6,1,1,1,1,5,6,5,12,5,1,7,1,West
13,7,1,1,1,1,5,6,5,12,5,1,7,1,West
12,7,1,1,1,1,5,6,5,12,5,1,7,1,West
11,7,1,1,1,1,5,6,5,12,5,1,7,1,West
10,7,1,1,1,1,5,6,5,12,5,1,7,1,South
9,7,1,1,1,1,5,6,5,12,5,1,7,1,South
9,6,1,1,1,1,5,6,5,12,5,1,7,1,West
9,5,1,1,1,1,5,6,5,12,5,1,7,1,West
8,5,1,1,1,1,5,6,5,12,5,1,7,1,West
7,5,1,1,1,1,5,6,5,12,5,1,7,1,West
6,5,1,1,1,1,5,6,5,12,5,1,7,1,North
5,5,1,1,1,1,5,6,5,12,5,1,7,1,North
5,6,1,1,1,1,1,1,5,12,5,1,7,1,North
5,7,1,1,1,1,1,1,5,12,5,1,7,1,North
5,8,1,1,1,1,1,1,5,12,5,1,7,1,Stop
5,9,0,1,1,1,1,1,5,12,5,1,7,1,East
5,9,0,1,1,1,1,1,5,12,5,1,7,1,North
6,9,1,1,1,1,1,1,5,12,5,1,7,1,North
6,10,1,1,1,0,1,1,5,12,5,1,7,1,West
6,11,1,1,1,1,1,1,5,12,5,1,7,1,West
5,11,1,0,1,1,1,1,5,12,5,1,7,1,North
4,11,1,0,1,1,1,1,5,12,5,1,7,1,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,Stop
12,10,1,1,1,1,5,5,4,12,14,6,13,12,East
12,10,1,1,1,1,6,5,4,11,13,6,13,12,East
13,10,1,1,1,1,6,4,5,11,13,6,13,12,North
14,10,1,1,1,1,6,3,5,11,14,6,13,11,West
14,11,1,1,1,1,6,3,5,11,13,6,12,11,West
13,11,1,1,1,1,6,4,5,12,14,6,11,11,West
12,11,1,1,1,1,7,4,4,12,14,5,10,11,West
11,11,1,1,1,1,7,3,4,13,14,4,7,1,West
10,11,1,1,1,1,8,3,4,14,14,5,7,1,West
9,11,1,1,1,1,9,3,4,13,13,5,7,1,West
8,11,1,1,1,1,8,3,3,13,13,4,7,1,North
7,11,1,1,1,1,8,4,2,13,13,3,7,1,North
7,12,1,1,1,1,9,4,3,13,13,3,7,1,West
7,13,1,1,1,1,10,4,3,13,12,3,7,1,West
6,13,1,1,1,1,10,5,3,14,11,3,7,1,West
5,13,1,1,1,1,11,5,4,14,12,3,7,1,West
4,13,1,1,1,1,12,5,3,1,12,4,7,1,North
3,13,1,1,1,1,11,5,3,1,12,3,7,1,Stop
3,14,0,1,1,1,11,6,3,1,12,3,7,1,East
3,14,0,1,1,1,11,7,3,1,12,4,7,1,South
4,14,0,1,1,1,11,6,3,1,13,4,7,1,South
4,13,1,1,1,1,11,5,3,1,14,4,7,1,East
4,12,1,1,1,1,11,6,3,1,14,5,7,1,East
5,12,1,1,1,1,12,6,3,1,14,5,7,1,South
6,12,1,1,1,1,12,5,3,1,13,5,7,1,South
6,11,1,1,1,1,12,6,3,1,14,5,7,1,South
6,10,1,1,1,0,11,6,3,1,13,5,7,1,South
6,9,1,1,1,1,12,6,3,1,13,4,7,1,South
6,8,1,1,1,1,12,6,3,1,13,5,7,1,East
6,7,1,1,1,1,12,5,3,1,14,5,7,1,East
7,7,1,1,1,1,11,5,3,1,13,5,7,1,East
8,7,1,1,1,1,12,5,3,1,13,6,7,1,South
9,7,1,1,1,1,12,6,3,1,13,6,7,1,East
9,6,1,1,1,1,13,6,3,1,14,6,7,1,East
10,6,1,1,1,1,14,6,3,1,14,7,7,1,East
11,6,1,1,1,1,14,7,3,1,15,7,7,1,East
