@relation 'beta_training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R23-26-weka.filters.unsupervised.attribute.AddExpression-E(a7+a9+a11+a13)/4-NmeanGhostx-weka.filters.unsupervised.attribute.AddExpression-E(a8+a10+a12+a14)/4-NmeanGhosty-weka.filters.unsupervised.attribute.AddExpression-E(a15+a16+a17+a18)/4-NmeanDist-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23'

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute meanGhostx numeric
@attribute meanGhosty numeric
@attribute meanDist numeric
@attribute Direction {North,South,East,West,Stop}

@data
5,4,1,1,1,1,5,6,5,12,5,1,7,1,2,8,-1,-1,Stop,Stop,Stop,Stop,5.5,5,2,North
4,4,1,1,1,1,5,6,5,12,5,1,7,1,3,9,-1,-1,Stop,Stop,Stop,Stop,5.5,5,2.5,East
4,5,1,1,1,1,5,6,5,12,5,1,7,1,2,8,-1,-1,Stop,Stop,Stop,Stop,5.5,5,2,East
5,5,1,1,1,1,5,6,5,12,5,1,7,1,1,7,-1,-1,Stop,Stop,Stop,Stop,5.5,5,1.5,North
6,5,1,1,1,1,5,6,5,12,5,1,7,1,2,8,-1,-1,Stop,Stop,Stop,Stop,5.5,5,2,West
6,6,1,1,1,1,5,6,5,12,5,1,7,1,1,7,-1,-1,Stop,Stop,Stop,Stop,5.5,5,1.5,West
5,6,1,1,1,1,1,1,5,12,5,1,7,1,-1,6,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.75,South
4,6,1,1,1,1,1,1,5,12,5,1,7,1,-1,7,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,1,South
4,5,1,1,1,1,1,1,5,12,5,1,7,1,-1,8,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,1.25,South
4,4,1,1,1,1,1,1,5,12,5,1,7,1,-1,9,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,1.5,West
4,3,1,0,1,1,1,1,5,12,5,1,7,1,-1,10,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,1.75,West
3,3,1,0,1,1,1,1,5,12,5,1,7,1,-1,11,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,2,West
2,3,1,0,1,1,1,1,5,12,5,1,7,1,-1,12,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,2.25,North
1,3,1,0,1,0,1,1,5,12,5,1,7,1,-1,13,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,2.5,North
1,4,1,1,1,0,1,1,5,12,5,1,7,1,-1,12,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,2.25,North
1,5,1,1,1,0,1,1,5,12,5,1,7,1,-1,11,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,2,North
1,6,1,1,1,0,1,1,5,12,5,1,7,1,-1,10,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,1.75,North
1,7,1,1,1,0,1,1,5,12,5,1,7,1,-1,9,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,1.5,North
1,8,1,1,1,0,1,1,5,12,5,1,7,1,-1,8,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,1.25,East
1,9,0,1,1,0,1,1,5,12,5,1,7,1,-1,7,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,1,East
2,9,0,1,1,1,1,1,5,12,5,1,7,1,-1,6,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.75,East
3,9,0,1,1,1,1,1,5,12,5,1,7,1,-1,5,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.5,East
4,9,0,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.25,East
5,9,0,1,1,1,1,1,5,12,5,1,7,1,-1,3,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0,East
6,9,1,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.25,North
7,9,1,1,1,1,1,1,5,12,5,1,7,1,-1,5,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.5,North
7,10,1,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.25,West
7,11,1,1,1,1,1,1,5,12,5,1,7,1,-1,3,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0,West
6,11,1,1,1,1,1,1,5,12,5,1,7,1,-1,2,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,-0.25,West
5,11,1,0,1,1,1,1,5,12,5,1,7,1,-1,1,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,-0.5,West
4,11,1,0,1,1,1,1,5,12,5,1,7,1,-1,2,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,-0.25,West
3,11,1,0,1,1,1,1,5,12,5,1,7,1,-1,3,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0,West
2,11,1,0,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.25,Stop
1,11,1,0,1,0,1,1,5,12,5,1,7,1,-1,5,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.5,North
1,11,1,0,1,0,1,1,5,12,5,1,7,1,-1,5,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.5,North
1,12,1,1,1,0,1,1,5,12,5,1,7,1,-1,4,-1,-1,Stop,Stop,Stop,Stop,4.5,3.75,0.25,East
