@relation training_largemaps.arff

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosthx numeric
@attribute Gosthy numeric
@attribute DirToGhost1{North,South,East,West,Stop}
@attribute DirToGhost2{North,South,East,West,Stop}
@attribute DirToGhost3{North,South,East,West,Stop}
@attribute DirToGhost4{North,South,East,West,Stop}
@attribute Move{North,South,East,West,Stop}
@data
25,10,1,1,0,1,25,14,Stop,Stop,Stop,West,West
25,11,0,1,0,1,25,13,Stop,Stop,Stop,South,South
24,11,0,1,1,1,25,14,Stop,Stop,Stop,East,East
24,10,1,1,1,1,25,15,Stop,Stop,Stop,North,North
25,10,1,1,0,1,25,15,Stop,Stop,Stop,West,West
25,11,0,1,0,1,25,16,Stop,Stop,Stop,South,South
24,11,0,1,1,1,25,15,Stop,Stop,Stop,East,East
24,10,1,1,1,1,24,15,Stop,Stop,Stop,North,North
25,10,1,1,0,1,24,15,Stop,Stop,Stop,West,West
25,11,0,1,0,1,23,15,Stop,Stop,Stop,West,West
24,11,0,1,1,1,23,14,Stop,Stop,Stop,South,South
23,11,0,1,1,1,23,13,Stop,Stop,Stop,South,South
23,10,1,1,1,1,22,13,Stop,Stop,Stop,South,South
23,9,1,1,1,0,22,13,Stop,Stop,Stop,West,West
23,8,1,1,1,1,22,13,Stop,Stop,Stop,West,West
22,8,0,0,1,1,22,14,Stop,Stop,Stop,West,West
21,8,0,0,1,1,22,15,Stop,Stop,Stop,West,West
20,8,0,0,1,1,22,15,Stop,Stop,Stop,West,West
19,8,0,0,1,1,22,16,Stop,Stop,Stop,West,West
18,8,0,0,1,1,22,15,Stop,Stop,Stop,West,West
17,8,0,0,1,1,23,15,Stop,Stop,Stop,West,West
16,8,0,0,1,1,22,15,Stop,Stop,Stop,West,West
15,8,0,0,1,1,22,14,Stop,Stop,Stop,North,North
14,8,1,1,1,1,22,13,Stop,Stop,Stop,North,North
14,9,1,1,0,1,22,14,Stop,Stop,Stop,East,East
14,10,1,1,1,1,22,14,Stop,Stop,Stop,North,North
15,10,1,0,1,1,22,13,Stop,Stop,Stop,East,East
15,11,1,1,1,1,23,13,Stop,Stop,Stop,East,East
16,11,1,1,1,1,22,13,Stop,Stop,Stop,East,East
17,11,1,1,1,1,23,13,Stop,Stop,Stop,East,East
