@relation alpha_training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R23-26

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute Direction {North,South,East,West,Stop}

@data
7,5,1,1,1,1,5,6,5,12,5,1,7,1,3,9,-1,-1,Stop,Stop,Stop,Stop,South
6,5,1,1,1,1,5,6,5,12,5,1,7,1,2,8,-1,-1,Stop,Stop,Stop,Stop,West
6,4,1,1,1,1,5,6,5,12,5,1,7,1,3,9,-1,-1,Stop,Stop,Stop,Stop,West
5,4,1,1,1,1,5,6,5,12,5,1,7,1,2,8,-1,-1,Stop,Stop,Stop,Stop,North
4,4,1,1,1,1,5,6,5,12,5,1,7,1,3,9,-1,-1,Stop,Stop,Stop,Stop,East
4,5,1,1,1,1,5,6,5,12,5,1,7,1,2,8,-1,-1,Stop,Stop,Stop,Stop,East
5,5,1,1,1,1,5,6,5,12,5,1,7,1,1,7,-1,-1,Stop,Stop,Stop,Stop,North
6,5,1,1,1,1,5,6,5,12,5,1,7,1,2,8,-1,-1,Stop,Stop,Stop,Stop,West
6,6,1,1,1,1,5,6,5,12,5,1,7,1,1,7,-1,-1,Stop,Stop,Stop,Stop,West
5,6,1,1,1,1,1,1,5,12,5,1,7,1,-1,6,-1,-1,Stop,Stop,Stop,Stop,South
4,6,1,1,1,1,1,1,5,12,5,1,7,1,-1,7,-1,-1,Stop,Stop,Stop,Stop,South
4,5,1,1,1,1,1,1,5,12,5,1,7,1,-1,8,-1,-1,Stop,Stop,Stop,Stop,South
4,4,1,1,1,1,1,1,5,12,5,1,7,1,-1,9,-1,-1,Stop,Stop,Stop,Stop,West
4,3,1,0,1,1,1,1,5,12,5,1,7,1,-1,10,-1,-1,Stop,Stop,Stop,Stop,West
3,3,1,0,1,1,1,1,5,12,5,1,7,1,-1,11,-1,-1,Stop,Stop,Stop,Stop,West
2,3,1,0,1,1,1,1,5,12,5,1,7,1,-1,12,-1,-1,Stop,Stop,Stop,Stop,North
1,3,1,0,1,0,1,1,5,12,5,1,7,1,-1,13,-1,-1,Stop,Stop,Stop,Stop,North
1,4,1,1,1,0,1,1,5,12,5,1,7,1,-1,12,-1,-1,Stop,Stop,Stop,Stop,North
1,5,1,1,1,0,1,1,5,12,5,1,7,1,-1,11,-1,-1,Stop,Stop,Stop,Stop,North
1,6,1,1,1,0,1,1,5,12,5,1,7,1,-1,10,-1,-1,Stop,Stop,Stop,Stop,North
1,7,1,1,1,0,1,1,5,12,5,1,7,1,-1,9,-1,-1,Stop,Stop,Stop,Stop,North
1,8,1,1,1,0,1,1,5,12,5,1,7,1,-1,8,-1,-1,Stop,Stop,Stop,Stop,East
1,9,0,1,1,0,1,1,5,12,5,1,7,1,-1,7,-1,-1,Stop,Stop,Stop,Stop,East
2,9,0,1,1,1,1,1,5,12,5,1,7,1,-1,6,-1,-1,Stop,Stop,Stop,Stop,East
3,9,0,1,1,1,1,1,5,12,5,1,7,1,-1,5,-1,-1,Stop,Stop,Stop,Stop,East
4,9,0,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,Stop,Stop,Stop,Stop,East
5,9,0,1,1,1,1,1,5,12,5,1,7,1,-1,3,-1,-1,Stop,Stop,Stop,Stop,East
6,9,1,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,Stop,Stop,Stop,Stop,North
7,9,1,1,1,1,1,1,5,12,5,1,7,1,-1,5,-1,-1,Stop,Stop,Stop,Stop,North
7,10,1,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,Stop,Stop,Stop,Stop,West
7,11,1,1,1,1,1,1,5,12,5,1,7,1,-1,3,-1,-1,Stop,Stop,Stop,Stop,West
6,11,1,1,1,1,1,1,5,12,5,1,7,1,-1,2,-1,-1,Stop,Stop,Stop,Stop,West
5,11,1,0,1,1,1,1,5,12,5,1,7,1,-1,1,-1,-1,Stop,Stop,Stop,Stop,West
4,11,1,0,1,1,1,1,5,12,5,1,7,1,-1,2,-1,-1,Stop,Stop,Stop,Stop,West
3,11,1,0,1,1,1,1,5,12,5,1,7,1,-1,3,-1,-1,Stop,Stop,Stop,Stop,West
2,11,1,0,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,Stop,Stop,Stop,Stop,Stop
1,11,1,0,1,0,1,1,5,12,5,1,7,1,-1,5,-1,-1,Stop,Stop,Stop,Stop,North
1,11,1,0,1,0,1,1,5,12,5,1,7,1,-1,5,-1,-1,Stop,Stop,Stop,Stop,North
1,12,1,1,1,0,1,1,5,12,5,1,7,1,-1,4,-1,-1,Stop,Stop,Stop,Stop,East
1,13,1,1,1,0,1,1,5,12,5,1,7,1,-1,5,-1,-1,Stop,Stop,Stop,Stop,East
2,13,1,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,Stop,Stop,Stop,Stop,East
3,13,1,1,1,1,1,1,5,12,5,1,7,1,-1,3,-1,-1,Stop,Stop,Stop,Stop,South
