@relation alpha_training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R23-26

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute Direction {North,South,East,West,Stop}

@data
12,10,1,1,1,1,11,8,3,1,10,8,7,1,3,-1,4,-1,West,Stop,West,Stop,South
11,10,1,1,1,1,11,8,3,1,9,8,7,1,2,-1,4,-1,West,Stop,East,Stop,West
11,9,1,1,1,1,10,8,3,1,10,8,7,1,2,-1,2,-1,West,Stop,West,Stop,West
10,9,1,1,1,1,9,8,3,1,9,8,7,1,2,-1,2,-1,Stop,Stop,East,Stop,South
9,9,1,1,1,1,9,8,3,1,10,8,7,1,1,-1,2,-1,Stop,Stop,East,Stop,East
9,8,1,1,1,1,1,1,3,1,11,8,7,1,-1,-1,2,-1,Stop,Stop,East,Stop,East
10,8,1,1,1,1,1,1,3,1,12,8,7,1,-1,-1,2,-1,Stop,Stop,East,Stop,East
11,8,1,1,1,1,1,1,3,1,13,8,7,1,-1,-1,2,-1,Stop,Stop,South,Stop,East
12,8,1,1,1,1,1,1,3,1,13,7,7,1,-1,-1,2,-1,Stop,Stop,Stop,Stop,South
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,South,West,West,East,North
13,10,1,1,1,1,5,5,4,12,12,6,13,12,13,11,5,3,East,South,South,Stop,East
13,11,1,1,1,1,6,5,4,11,12,5,14,12,13,9,7,1,South,West,South,Stop,West
14,11,1,1,1,1,6,4,3,11,12,5,7,1,15,11,8,-1,South,West,South,Stop,West
13,11,1,1,1,1,6,4,2,11,12,5,7,1,14,11,7,-1,East,North,East,Stop,West
12,11,1,1,1,1,7,4,2,12,13,5,7,1,12,11,7,-1,West,East,East,Stop,West
11,11,1,1,1,1,6,4,3,12,14,5,7,1,12,9,9,-1,East,East,North,Stop,West
10,11,1,1,1,1,7,4,4,12,14,6,7,1,10,7,9,-1,West,East,West,Stop,West
9,11,1,1,1,1,6,4,5,12,13,6,7,1,10,5,9,-1,West,East,North,Stop,West
8,11,1,1,1,1,6,4,6,12,13,7,7,1,9,3,9,-1,South,East,South,Stop,West
7,11,1,1,1,1,6,3,6,12,13,6,7,1,9,2,11,-1,North,North,East,Stop,North
6,11,1,1,1,1,6,4,6,13,14,6,7,1,7,2,13,-1,South,East,East,Stop,East
6,12,1,1,1,1,6,3,7,13,14,6,7,1,9,2,14,-1,North,West,South,Stop,West
7,12,1,1,1,1,6,4,6,13,14,5,7,1,9,2,14,-1,North,Stop,North,Stop,South
6,12,1,1,1,1,6,4,3,1,14,6,7,1,8,-1,14,-1,North,Stop,North,Stop,South
6,11,1,1,1,1,6,4,3,1,14,6,7,1,7,-1,13,-1,East,Stop,West,Stop,East
6,10,1,1,1,0,7,4,3,1,13,6,7,1,7,-1,11,-1,East,Stop,West,Stop,South
7,10,1,1,1,1,7,4,3,1,13,6,7,1,6,-1,10,-1,North,Stop,West,Stop,South
7,9,1,1,1,1,7,5,3,1,12,6,7,1,4,-1,8,-1,North,Stop,East,Stop,South
7,8,1,1,1,1,7,6,3,1,13,6,7,1,2,-1,8,-1,Stop,Stop,East,Stop,South
7,7,1,1,1,1,7,6,3,1,13,6,7,1,1,-1,7,-1,Stop,Stop,East,Stop,East
7,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,6,-1,Stop,Stop,East,Stop,East
8,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,5,-1,Stop,Stop,East,Stop,East
9,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,4,-1,Stop,Stop,North,Stop,East
10,6,1,1,1,1,1,1,3,1,13,7,7,1,-1,-1,4,-1,Stop,Stop,West,Stop,East
11,6,1,1,1,1,1,1,3,1,12,7,7,1,-1,-1,2,-1,Stop,Stop,East,Stop,East
12,6,1,1,1,1,1,1,3,1,13,7,7,1,-1,-1,2,-1,Stop,Stop,East,Stop,East
13,6,1,1,1,1,1,1,3,1,14,7,7,1,-1,-1,2,-1,Stop,Stop,North,Stop,North
14,6,1,1,1,1,1,1,3,1,14,8,7,1,-1,-1,2,-1,Stop,Stop,East,Stop,East
14,7,1,1,1,1,1,1,3,1,15,8,7,1,-1,-1,2,-1,Stop,Stop,Stop,Stop,North
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,North,Stop,East,North,North
